LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.8 on Mon Aug 29 16:29:06 CEST 2022
 1466 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 5 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -2.220001 99.540001  xlo xhi
 -2.220001 99.540001  ylo yhi
 -2.220001 99.540001  zlo zhi

# Pair Coeffs
#
# 1  3
# 2  A
# 3  B
# 4  M
# 5  N

 Masses

 1 15.999400 # 3
 2 55.845001 # A
 3 55.845001 # B
 4 55.845001 # M
 5 55.845001 # N

 Atoms # full

138 1 1 -1.050000 39.083199 51.803200 39.083199 # 3 
139 1 1 -1.050000 39.083199 49.756802 37.036800 # 3 
140 2 2 1.575000 40.180000 52.900002 48.660000 # A 
141 3 5 1.050000 39.119999 49.720001 47.599998 # N 
142 3 4 1.575000 37.000000 51.840000 47.599998 # M 
143 3 4 1.575000 37.000000 49.720001 45.480000 # M 
144 3 4 1.575000 39.119999 51.840000 45.480000 # M 
145 1 1 -1.050000 37.036800 49.756802 47.563202 # 3 
146 1 1 -1.050000 37.036800 51.803200 45.516800 # 3 
147 1 1 -1.050000 39.083199 51.803200 47.563202 # 3 
148 1 1 -1.050000 39.083199 49.756802 45.516800 # 3 
149 2 2 1.575000 48.660000 44.419998 40.180000 # A 
150 3 4 1.575000 47.599998 41.240002 39.119999 # M 
151 3 4 1.575000 45.480000 43.360001 39.119999 # M 
152 3 4 1.575000 45.480000 41.240002 37.000000 # M 
153 3 4 1.575000 47.599998 43.360001 37.000000 # M 
154 1 1 -1.050000 45.516800 41.276798 39.083199 # 3 
155 1 1 -1.050000 45.516800 43.323200 37.036800 # 3 
156 1 1 -1.050000 47.563202 43.323200 39.083199 # 3 
157 1 1 -1.050000 47.563202 41.276798 37.036800 # 3 
158 2 2 1.575000 48.660000 44.419998 48.660000 # A 
159 3 5 1.050000 47.599998 41.240002 47.599998 # N 
160 3 4 1.575000 45.480000 43.360001 47.599998 # M 
161 3 5 1.050000 45.480000 41.240002 45.480000 # N 
162 3 5 1.050000 47.599998 43.360001 45.480000 # N 
163 1 1 -1.050000 45.516800 41.276798 47.563202 # 3 
164 1 1 -1.050000 45.516800 43.323200 45.516800 # 3 
165 1 1 -1.050000 47.563202 43.323200 47.563202 # 3 
166 1 1 -1.050000 47.563202 41.276798 45.516800 # 3 
167 2 2 1.575000 48.660000 52.900002 40.180000 # A 
168 3 4 1.575000 47.599998 49.720001 39.119999 # M 
169 3 4 1.575000 45.480000 51.840000 39.119999 # M 
170 3 4 1.575000 45.480000 49.720001 37.000000 # M 
171 3 4 1.575000 47.599998 51.840000 37.000000 # M 
172 1 1 -1.050000 45.516800 49.756802 39.083199 # 3 
173 1 1 -1.050000 45.516800 51.803200 37.036800 # 3 
174 1 1 -1.050000 47.563202 51.803200 39.083199 # 3 
175 1 1 -1.050000 47.563202 49.756802 37.036800 # 3 
176 2 2 1.575000 48.660000 52.900002 48.660000 # A 
177 3 5 1.050000 47.599998 49.720001 47.599998 # N 
178 3 5 1.050000 45.480000 51.840000 47.599998 # N 
179 3 5 1.050000 45.480000 49.720001 45.480000 # N 
180 3 4 1.575000 47.599998 51.840000 45.480000 # M 
181 1 1 -1.050000 45.516800 49.756802 47.563202 # 3 
182 1 1 -1.050000 45.516800 51.803200 45.516800 # 3 
183 1 1 -1.050000 47.563202 51.803200 47.563202 # 3 
184 1 1 -1.050000 47.563202 49.756802 45.516800 # 3 
185 2 2 1.575000 38.060001 42.299999 42.299999 # A 
186 1 1 -1.050000 45.443199 41.203201 43.396801 # 3 
187 1 1 -1.050000 39.156799 43.396801 43.396801 # 3 
188 1 1 -1.050000 39.156799 41.203201 41.203201 # 3 
189 1 1 -1.050000 45.443199 43.396801 41.203201 # 3 
190 2 2 1.575000 38.060001 42.299999 50.779999 # A 
191 1 1 -1.050000 45.443199 41.203201 51.876801 # 3 
192 1 1 -1.050000 39.156799 43.396801 51.876801 # 3 
193 1 1 -1.050000 39.156799 41.203201 49.683201 # 3 
194 1 1 -1.050000 45.443199 43.396801 49.683201 # 3 
195 2 2 1.575000 38.060001 50.779999 42.299999 # A 
196 1 1 -1.050000 45.443199 49.683201 43.396801 # 3 
197 1 1 -1.050000 39.156799 51.876801 43.396801 # 3 
198 1 1 -1.050000 39.156799 49.683201 41.203201 # 3 
199 1 1 -1.050000 45.443199 51.876801 41.203201 # 3 
200 2 2 1.575000 38.060001 50.779999 50.779999 # A 
201 1 1 -1.050000 45.443199 49.683201 51.876801 # 3 
202 1 1 -1.050000 39.156799 51.876801 51.876801 # 3 
203 1 1 -1.050000 39.156799 49.683201 49.683201 # 3 
204 1 1 -1.050000 45.443199 51.876801 49.683201 # 3 
205 2 2 1.575000 46.540001 42.299999 42.299999 # A 
206 1 1 -1.050000 47.636799 43.396801 43.396801 # 3 
207 1 1 -1.050000 47.636799 41.203201 41.203201 # 3 
208 2 2 1.575000 46.540001 42.299999 50.779999 # A 
209 1 1 -1.050000 47.636799 43.396801 51.876801 # 3 
210 1 1 -1.050000 47.636799 41.203201 49.683201 # 3 
211 2 2 1.575000 46.540001 50.779999 42.299999 # A 
212 1 1 -1.050000 47.636799 51.876801 43.396801 # 3 
213 1 1 -1.050000 47.636799 49.683201 41.203201 # 3 
214 2 2 1.575000 46.540001 50.779999 50.779999 # A 
215 1 1 -1.050000 47.636799 51.876801 51.876801 # 3 
216 1 1 -1.050000 47.636799 49.683201 49.683201 # 3 
217 1 1 -1.050000 36.963200 41.203201 43.396801 # 3 
218 1 1 -1.050000 36.963200 43.396801 41.203201 # 3 
219 1 1 -1.050000 36.963200 41.203201 51.876801 # 3 
220 1 1 -1.050000 36.963200 43.396801 49.683201 # 3 
221 1 1 -1.050000 36.963200 49.683201 43.396801 # 3 
222 1 1 -1.050000 36.963200 51.876801 41.203201 # 3 
223 1 1 -1.050000 36.963200 49.683201 51.876801 # 3 
224 1 1 -1.050000 36.963200 51.876801 49.683201 # 3 
225 2 2 1.575000 44.419998 40.180000 40.180000 # A 
226 3 4 1.575000 41.240002 37.000000 37.000000 # M 
227 2 2 1.575000 40.200001 38.079998 40.160000 # A 
